GRE Score,TOEFL Score,University Rating,SOP,LOR,CGPA,Research,Chance of Admit
301,97,2,3,3,7.88,Yes,0.44
303,99,3,2,2.5,7.66,No,0.36
304,100,4,1.5,2.5,7.84,No,0.42
306,100,2,3,3,8,No,0.48
331,120,3,4,4,8.96,Yes,0.86
332,119,4,5,4.5,9.24,Yes,0.9
323,113,3,4,4,8.88,Yes,0.79
322,107,3,3.5,3.5,8.46,Yes,0.71
312,105,2,2.5,3,8.12,No,0.64
314,106,2,4,3.5,8.25,No,0.62
317,104,2,4.5,4,8.47,No,0.57
326,112,3,3.5,3,9.05,Yes,0.74
316,110,3,4,4.5,8.78,Yes,0.69
329,111,4,4.5,4.5,9.18,Yes,0.87
338,117,4,3.5,4.5,9.46,Yes,0.91
331,116,5,5,5,9.38,Yes,0.93
304,103,5,5,4,8.64,No,0.68
305,108,5,3,3,8.48,No,0.61
321,109,4,4,4,8.68,Yes,0.69
301,107,3,3.5,3.5,8.34,Yes,0.62
320,110,2,4,3.5,8.56,No,0.72
311,105,3,3.5,3,8.45,Yes,0.59
310,106,4,4.5,4.5,9.04,Yes,0.66
299,102,3,4,3.5,8.62,No,0.56
290,104,4,2,2.5,7.46,No,0.45
296,99,2,3,3.5,7.28,No,0.47
327,104,5,3,3.5,8.84,Yes,0.71
335,117,5,5,5,9.56,Yes,0.94
334,119,5,4.5,4.5,9.48,Yes,0.94
310,106,4,1.5,2.5,8.36,No,0.57
308,108,3,3.5,3.5,8.22,No,0.61
301,106,4,2.5,3,8.47,No,0.57
300,100,3,2,3,8.66,Yes,0.64
323,113,3,4,3,9.32,Yes,0.85
319,112,3,2.5,2,8.71,Yes,0.78
326,112,3,3.5,3,9.1,Yes,0.84
333,118,5,5,5,9.35,Yes,0.92
339,114,5,4,4.5,9.76,Yes,0.96
303,105,5,5,4.5,8.65,No,0.77
309,105,5,3.5,3.5,8.56,No,0.71
323,112,5,4,4.5,8.78,No,0.79
333,113,5,4,4,9.28,Yes,0.89
314,109,4,3.5,4,8.77,Yes,0.82
312,103,3,5,4,8.45,No,0.76
316,100,2,1.5,3,8.16,Yes,0.71
326,116,2,4.5,3,9.08,Yes,0.8
318,109,1,3.5,3.5,9.12,No,0.78
329,110,2,4,3,9.15,Yes,0.84
332,118,2,4.5,3.5,9.36,Yes,0.9
331,115,5,4,3.5,9.44,Yes,0.92
340,120,4,4.5,4,9.92,Yes,0.97
325,112,2,3,3.5,8.96,Yes,0.8
320,113,2,2,2.5,8.64,Yes,0.81
315,105,3,2,2.5,8.48,No,0.75
326,114,3,3,3,9.11,Yes,0.83
339,116,4,4,3.5,9.8,Yes,0.96
311,106,2,3.5,3,8.26,Yes,0.79
334,114,4,4,4,9.43,Yes,0.93
332,116,5,5,5,9.28,Yes,0.94
321,112,5,5,5,9.06,Yes,0.86
324,105,3,3,4,8.75,No,0.79
326,108,3,3,3.5,8.89,No,0.8
312,109,3,3,3,8.69,No,0.77
315,105,3,2,2.5,8.34,No,0.7
309,104,2,2,2.5,8.26,No,0.65
306,106,2,2,2.5,8.14,No,0.61
297,100,1,1.5,2,7.9,No,0.52
315,103,1,1.5,2,7.86,No,0.57
298,99,1,1.5,3,7.46,No,0.53
318,109,3,3,3,8.5,No,0.67
317,105,3,3.5,3,8.56,No,0.68
329,111,4,4.5,4,9.01,Yes,0.81
322,110,5,4.5,4,8.97,No,0.78
302,102,3,3.5,5,8.33,No,0.65
313,102,3,2,3,8.27,No,0.64
293,97,2,2,4,7.8,Yes,0.64
311,99,2,2.5,3,7.98,No,0.65
312,101,2,2.5,3.5,8.04,Yes,0.68
334,117,5,4,4.5,9.07,Yes,0.89
322,110,4,4,5,9.13,Yes,0.86
323,113,4,4,4.5,9.23,Yes,0.89
321,111,4,4,4,8.97,Yes,0.87
320,111,4,4.5,3.5,8.87,Yes,0.85
329,119,4,4.5,4.5,9.16,Yes,0.9
319,110,3,3.5,3.5,9.04,No,0.82
309,108,3,2.5,3,8.12,No,0.72
307,102,3,3,3,8.27,No,0.73
300,104,3,3.5,3,8.16,No,0.71
305,107,2,2.5,2.5,8.42,No,0.71
299,100,2,3,3.5,7.88,No,0.68
314,110,3,4,4,8.8,No,0.75
316,106,2,2.5,4,8.32,No,0.72
327,113,4,4.5,4.5,9.11,Yes,0.89
317,107,3,3.5,3,8.68,Yes,0.84
335,118,5,4.5,3.5,9.44,Yes,0.93
331,115,5,4.5,3.5,9.36,Yes,0.93
324,112,5,5,5,9.08,Yes,0.88
324,111,5,4.5,4,9.16,Yes,0.9
323,110,5,4,5,8.98,Yes,0.87
322,114,5,4.5,4,8.94,Yes,0.86
336,118,5,4.5,5,9.53,Yes,0.94
316,109,3,3.5,3,8.76,No,0.77
307,107,2,3,3.5,8.52,Yes,0.78
306,105,2,3,2.5,8.26,No,0.73
310,106,2,3.5,2.5,8.33,No,0.73
311,104,3,4.5,4.5,8.43,No,0.7
313,107,3,4,4.5,8.69,No,0.72
317,103,3,2.5,3,8.54,Yes,0.73
315,110,2,3.5,3,8.46,Yes,0.72
340,120,5,4.5,4.5,9.91,Yes,0.97
334,120,5,4,5,9.87,Yes,0.97
298,105,3,3.5,4,8.54,No,0.69
295,99,2,2.5,3,7.65,No,0.57
315,99,2,3.5,3,7.89,No,0.63
310,102,3,3.5,4,8.02,Yes,0.66
305,106,2,3,3,8.16,No,0.64
301,104,3,3.5,4,8.12,Yes,0.68
325,108,4,4.5,4,9.06,Yes,0.79
328,110,4,5,4,9.14,Yes,0.82
338,120,4,5,5,9.66,Yes,0.95
333,119,5,5,4.5,9.78,Yes,0.96
331,117,4,4.5,5,9.42,Yes,0.94
330,116,5,5,4.5,9.36,Yes,0.93
322,112,4,4.5,4.5,9.26,Yes,0.91
321,109,4,4,4,9.13,Yes,0.85
324,110,4,3,3.5,8.97,Yes,0.84
312,104,3,3.5,3.5,8.42,No,0.74
313,103,3,4,4,8.75,No,0.76
316,110,3,3.5,4,8.56,No,0.75
324,113,4,4.5,4,8.79,No,0.76
308,109,2,3,4,8.45,No,0.71
305,105,2,3,2,8.23,No,0.67
296,99,2,2.5,2.5,8.03,No,0.61
306,110,2,3.5,4,8.45,No,0.63
312,110,2,3.5,3,8.53,No,0.64
318,112,3,4,3.5,8.67,No,0.71
324,111,4,3,3,9.01,Yes,0.82
313,104,3,4,4.5,8.65,No,0.73
319,106,3,3.5,2.5,8.33,Yes,0.74
312,107,2,2.5,3.5,8.27,No,0.69
304,100,2,2.5,3.5,8.07,No,0.64
330,113,5,5,4,9.31,Yes,0.91
326,111,5,4.5,4,9.23,Yes,0.88
325,112,4,4,4.5,9.17,Yes,0.85
329,114,5,4.5,5,9.19,Yes,0.86
310,104,3,2,3.5,8.37,No,0.7
299,100,1,1.5,2,7.89,No,0.59
296,101,1,2.5,3,7.68,No,0.6
317,103,2,2.5,2,8.15,No,0.65
324,115,3,3.5,3,8.76,Yes,0.7
325,114,3,3.5,3,9.04,Yes,0.76
314,107,2,2.5,4,8.56,No,0.63
328,110,4,4,2.5,9.02,Yes,0.81
316,105,3,3,3.5,8.73,No,0.72
311,104,2,2.5,3.5,8.48,No,0.71
324,110,3,3.5,4,8.87,Yes,0.8
321,111,3,3.5,4,8.83,Yes,0.77
320,104,3,3,2.5,8.57,Yes,0.74
316,99,2,2.5,3,9,No,0.7
318,100,2,2.5,3.5,8.54,Yes,0.71
335,115,4,4.5,4.5,9.68,Yes,0.93
321,114,4,4,5,9.12,No,0.85
307,110,4,4,4.5,8.37,No,0.79
309,99,3,4,4,8.56,No,0.76
324,100,3,4,5,8.64,Yes,0.78
326,102,4,5,5,8.76,Yes,0.77
331,119,4,5,4.5,9.34,Yes,0.9
327,108,5,5,3.5,9.13,Yes,0.87
312,104,3,3.5,4,8.09,No,0.71
308,103,2,2.5,4,8.36,Yes,0.7
324,111,3,2.5,1.5,8.79,Yes,0.7
325,110,2,3,2.5,8.76,Yes,0.75
313,102,3,2.5,2.5,8.68,No,0.71
312,105,2,2,2.5,8.45,No,0.72
314,107,3,3,3.5,8.17,Yes,0.73
327,113,4,4.5,5,9.14,No,0.83
308,108,4,4.5,5,8.34,No,0.77
306,105,2,2.5,3,8.22,Yes,0.72
299,96,2,1.5,2,7.86,No,0.54
294,95,1,1.5,1.5,7.64,No,0.49
312,99,1,1,1.5,8.01,Yes,0.52
315,100,1,2,2.5,7.95,No,0.58
322,110,3,3.5,3,8.96,Yes,0.78
329,113,5,5,4.5,9.45,Yes,0.89
320,101,2,2.5,3,8.62,No,0.7
308,103,2,3,3.5,8.49,No,0.66
304,102,2,3,4,8.73,No,0.67
311,102,3,4.5,4,8.64,Yes,0.68
317,110,3,4,4.5,9.11,Yes,0.8
312,106,3,4,3.5,8.79,Yes,0.81
321,111,3,2.5,3,8.9,Yes,0.8
340,112,4,5,4.5,9.66,Yes,0.94
331,116,5,4,4,9.26,Yes,0.93
336,118,5,4.5,4,9.19,Yes,0.92
324,114,5,5,4.5,9.08,Yes,0.89
314,104,4,5,5,9.02,No,0.82
313,109,3,4,3.5,9,No,0.79
307,105,2,2.5,3,7.65,No,0.58
300,102,2,1.5,2,7.87,No,0.56
302,99,2,1,2,7.97,No,0.56
312,98,1,3.5,3,8.18,Yes,0.64
316,101,2,2.5,2,8.32,Yes,0.61
317,100,2,3,2.5,8.57,No,0.68
310,107,3,3.5,3.5,8.67,No,0.76
320,120,3,4,4.5,9.11,No,0.86
330,114,3,4.5,4.5,9.24,Yes,0.9
305,112,3,3,3.5,8.65,No,0.71
309,106,2,2.5,2.5,8,No,0.62
319,108,2,2.5,3,8.76,No,0.66
322,105,2,3,3,8.45,Yes,0.65
323,107,3,3.5,3.5,8.55,Yes,0.73
313,106,2,2.5,2,8.43,No,0.62
321,109,3,3.5,3.5,8.8,Yes,0.74
323,110,3,4,3.5,9.1,Yes,0.79
325,112,4,4,4,9,Yes,0.8
312,108,3,3.5,3,8.53,No,0.69
308,110,4,3.5,3,8.6,No,0.7
320,104,3,3,3.5,8.74,Yes,0.76
328,108,4,4.5,4,9.18,Yes,0.84
311,107,4,4.5,4.5,9,Yes,0.78
301,100,3,3.5,3,8.04,No,0.67
305,105,2,3,4,8.13,No,0.66
308,104,2,2.5,3,8.07,No,0.65
298,101,2,1.5,2,7.86,No,0.54
300,99,1,1,2.5,8.01,No,0.58
324,111,3,2.5,2,8.8,Yes,0.79
327,113,4,3.5,3,8.69,Yes,0.8
317,106,3,4,3.5,8.5,Yes,0.75
323,104,3,4,4,8.44,Yes,0.73
314,107,2,2.5,4,8.27,No,0.72
305,102,2,2,2.5,8.18,No,0.62
315,104,3,3,2.5,8.33,No,0.67
326,116,3,3.5,4,9.14,Yes,0.81
299,100,3,2,2,8.02,No,0.63
295,101,2,2.5,2,7.86,No,0.69
324,112,4,4,3.5,8.77,Yes,0.8
297,96,2,2.5,1.5,7.89,No,0.43
327,113,3,3.5,3,8.66,Yes,0.8
311,105,2,3,2,8.12,Yes,0.73
308,106,3,3.5,2.5,8.21,Yes,0.75
319,108,3,3,3.5,8.54,Yes,0.71
312,107,4,4.5,4,8.65,Yes,0.73
325,111,4,4,4.5,9.11,Yes,0.83
319,110,3,3,2.5,8.79,No,0.72
332,118,5,5,5,9.47,Yes,0.94
323,108,5,4,4,8.74,Yes,0.81
324,107,5,3.5,4,8.66,Yes,0.81
312,107,3,3,3,8.46,Yes,0.75
326,110,3,3.5,3.5,8.76,Yes,0.79
308,106,3,3,3,8.24,No,0.58
305,103,2,2.5,3.5,8.13,No,0.59
295,96,2,1.5,2,7.34,No,0.47
316,98,1,1.5,2,7.43,No,0.49
304,97,2,1.5,2,7.64,No,0.47
299,94,1,1,1,7.34,No,0.42
302,99,1,2,2,7.25,No,0.57
313,101,3,2.5,3,8.04,No,0.62
318,107,3,3,3.5,8.27,Yes,0.74
325,110,4,3.5,4,8.67,Yes,0.73
303,100,2,3,3.5,8.06,Yes,0.64
300,102,3,3.5,2.5,8.17,No,0.63
297,98,2,2.5,3,7.67,No,0.59
317,106,2,2,3.5,8.12,No,0.73
327,109,3,3.5,4,8.77,Yes,0.79
301,104,2,3.5,3.5,7.89,Yes,0.68
314,105,2,2.5,2,7.64,No,0.7
321,107,2,2,1.5,8.44,No,0.81
322,110,3,4,5,8.64,Yes,0.85
334,116,4,4,3.5,9.54,Yes,0.93
338,115,5,4.5,5,9.23,Yes,0.91
306,103,2,2.5,3,8.36,No,0.69
313,102,3,3.5,4,8.9,Yes,0.77
330,114,4,4.5,3,9.17,Yes,0.86
320,104,3,3.5,4.5,8.34,Yes,0.74
311,98,1,1,2.5,7.46,No,0.57
298,92,1,2,2,7.88,No,0.51
301,98,1,2,3,8.03,Yes,0.67
310,103,2,2.5,2.5,8.24,No,0.72
324,110,3,3.5,3,9.22,Yes,0.89
336,119,4,4.5,4,9.62,Yes,0.95
321,109,3,3,3,8.54,Yes,0.79
315,105,2,2,2.5,7.65,No,0.39
304,101,2,2,2.5,7.66,No,0.38
297,96,2,2.5,2,7.43,No,0.34
290,100,1,1.5,2,7.56,No,0.47
303,98,1,2,2.5,7.65,No,0.56
311,99,1,2.5,3,8.43,Yes,0.71
322,104,3,3.5,4,8.84,Yes,0.78
319,105,3,3,3.5,8.67,Yes,0.73
324,110,4,4.5,4,9.15,Yes,0.82
300,100,3,3,3.5,8.26,No,0.62
340,113,4,5,5,9.74,Yes,0.96
335,117,5,5,5,9.82,Yes,0.96
302,101,2,2.5,3.5,7.96,No,0.46
307,105,2,2,3.5,8.1,No,0.53
296,97,2,1.5,2,7.8,No,0.49
320,108,3,3.5,4,8.44,Yes,0.76
314,102,2,2,2.5,8.24,No,0.64
318,106,3,2,3,8.65,No,0.71
326,112,4,4,3.5,9.12,Yes,0.84
317,104,2,3,3,8.76,No,0.77
329,111,4,4.5,4,9.23,Yes,0.89
324,110,3,3.5,3.5,9.04,Yes,0.82
325,107,3,3,3.5,9.11,Yes,0.84
330,116,4,5,4.5,9.45,Yes,0.91
312,103,3,3.5,4,8.78,No,0.67
333,117,4,5,4,9.66,Yes,0.95
304,100,2,3.5,3,8.22,No,0.63
315,105,2,3,3,8.34,No,0.66
324,109,3,3.5,3,8.94,Yes,0.78
330,116,4,4,3.5,9.23,Yes,0.91
311,101,3,2,2.5,7.64,Yes,0.62
302,99,3,2.5,3,7.45,No,0.52
322,103,4,3,2.5,8.02,Yes,0.61
298,100,3,2.5,4,7.95,Yes,0.58
297,101,3,2,4,7.67,Yes,0.57
300,98,1,2,2.5,8.02,No,0.61
301,96,1,3,4,7.56,No,0.54
313,94,2,2.5,1.5,8.13,No,0.56
314,102,4,2.5,2,7.88,Yes,0.59
317,101,3,3,2,7.94,Yes,0.49
321,110,4,3.5,4,8.35,Yes,0.72
327,106,4,4,4.5,8.75,Yes,0.76
315,104,3,4,2.5,8.1,No,0.65
316,103,3,3.5,2,7.68,No,0.52
309,111,2,2.5,4,8.03,No,0.6
308,102,2,2,3.5,7.98,Yes,0.58
299,100,3,2,3,7.42,No,0.42
321,112,3,3,4.5,8.95,Yes,0.77
322,112,4,3.5,2.5,9.02,Yes,0.73
334,119,5,4.5,5,9.54,Yes,0.94
325,114,5,4,5,9.46,Yes,0.91
323,111,5,4,5,9.86,Yes,0.92
312,106,3,3,5,8.57,No,0.71
310,101,3,3.5,5,8.65,Yes,0.71
316,103,2,2,4.5,8.74,No,0.69
340,115,5,5,4.5,9.06,Yes,0.95
311,104,3,4,3.5,8.13,Yes,0.74
320,112,2,3.5,3.5,8.78,Yes,0.73
324,112,4,4.5,4,9.22,Yes,0.86
316,111,4,4,5,8.54,No,0.71
306,103,3,3.5,3,8.21,No,0.64
309,105,2,2.5,4,7.68,No,0.55
310,110,1,1.5,4,7.23,Yes,0.58
317,106,1,1.5,3.5,7.65,Yes,0.61
318,110,1,2.5,3.5,8.54,Yes,0.67
312,105,2,1.5,3,8.46,No,0.66
305,104,2,2.5,1.5,7.79,No,0.53
332,112,1,1.5,3,8.66,Yes,0.79
331,116,4,4.5,4.5,9.44,Yes,0.92
321,114,5,4.5,4.5,9.16,Yes,0.87
324,113,5,4,5,9.25,Yes,0.92
328,116,5,4.5,5,9.08,Yes,0.91
327,118,4,5,5,9.67,Yes,0.93
320,108,3,3.5,5,8.97,Yes,0.84
312,109,2,2.5,4,9.02,No,0.8
315,101,3,3.5,4.5,9.13,No,0.79
320,112,4,3,4.5,8.86,Yes,0.82
324,113,4,4.5,4.5,9.25,Yes,0.89
328,116,4,5,3.5,9.6,Yes,0.93
319,103,3,2.5,4,8.76,Yes,0.73
310,105,2,3,3.5,8.01,No,0.71
305,102,2,1.5,2.5,7.64,No,0.59
299,100,2,2,2,7.88,No,0.51
295,99,1,2,1.5,7.57,No,0.37
312,100,1,3,3,8.53,Yes,0.69
329,113,4,4,3.5,9.36,Yes,0.89
319,105,4,4,4.5,8.66,Yes,0.77
301,102,3,2.5,2,8.13,Yes,0.68
307,105,4,3,3,7.94,No,0.62
304,107,3,3.5,3,7.86,No,0.57
298,97,2,2,3,7.21,No,0.45
305,96,4,3,4.5,8.26,No,0.54
314,99,4,3.5,4.5,8.73,Yes,0.71
318,101,5,3.5,5,8.78,Yes,0.78
323,110,4,4,5,8.88,Yes,0.81
326,114,4,4,3.5,9.16,Yes,0.86
320,110,5,4,4,9.27,Yes,0.87
311,103,3,2,4,8.09,No,0.64
327,116,4,4,4.5,9.48,Yes,0.9
316,102,2,4,3.5,8.15,No,0.67
308,105,4,3,2.5,7.95,Yes,0.67
300,101,3,3.5,2.5,7.88,No,0.59
304,104,3,2.5,2,8.12,No,0.62
309,105,4,3.5,2,8.18,No,0.65
318,103,3,4,4.5,8.49,Yes,0.71
325,110,4,4.5,4,8.96,Yes,0.79
321,102,3,3.5,4,9.01,Yes,0.8
323,107,4,3,2.5,8.48,Yes,0.78
328,113,4,4,2.5,8.77,Yes,0.83
304,103,5,5,3,7.92,No,0.71
317,106,3,3.5,3,7.89,Yes,0.73
311,101,2,2.5,3.5,8.34,Yes,0.7
319,102,3,2.5,2.5,8.37,No,0.68
327,115,4,3.5,4,9.14,No,0.79
322,112,3,3,4,8.62,Yes,0.76
302,110,3,4,4.5,8.5,No,0.65
307,105,2,2.5,4.5,8.12,Yes,0.67
297,99,4,3,3.5,7.81,No,0.54
298,101,4,2.5,4.5,7.69,Yes,0.53
300,95,2,3,1.5,8.22,Yes,0.62
301,99,3,2.5,2,8.45,Yes,0.68
332,108,5,4.5,4,9.02,Yes,0.87
337,117,5,5,5,9.87,Yes,0.96
330,120,5,4.5,5,9.56,Yes,0.93
312,103,4,4,5,8.43,No,0.73
327,113,4,4.5,4.5,9.04,No,0.84
